Country,CountryID,Continent,Adolescent fertility rate (in percent),Adult literacy rate (in percent),Gross national income per capita (PPP international $),Net primary school enrolment ratio female (in percent),Net primary school enrolment ratio male (in percent),Population (in thousands) total,Population annual growth rate (in percent),Population in urban areas (in percent),Population living below the povertyline,Population median age (years),Population proportion over 60 (in percent),Population proportion under 15 (in percent),Registration coverage of births (in percent),Total fertility rate (per woman),Antenatal care coverage _ at least four visits (in percent),Antiretroviral therapy coverage ,Antiretroviral therapy,Births attended by skilled ,Births by caesarean section (in percent),Children aged 6_59 months who received vitamin A
Bolivia,22,5,97,86.7,3810,95,94,9354,1.9,65,23.2,21,7,38,82,3.6,58,,18,61,15,60
Bosnia and Herzegovina,23,2,25,96.7,6780,,,3926,0.3,46,,38,19,17,90,1.2,,,,100,,
Botswana,24,3,51,81.2,11730,85,83,1858,1.2,58,,21,5,35,58,3,97,95,76,99,,
Brazil,25,5,71,88.6,8700,95,93,189323,1.3,85,7.5,27,9,28,89,2.3,76,,78,97,,
Brunei Darussalam,26,6,31,92.7,49900,94,94,382,2.1,74,,26,5,29,90,2.4,,,,100,,
Bulgaria,27,2,40,98.2,10270,92,93,7693,-0.7,70,2,41,23,14,90,1.3,,,,99,17,
Burkina Faso,28,3,131,23.6,1130,42,52,14359,3,19,27.2,17,4,46,64,6.1,18,53,31,54,1,33.3
Burundi,29,3,30,59.3,320,73,76,8173,3.9,10,,17,4,45,60,6.8,79,14,17,34,,
Cambodia,30,7,52,73.6,1550,89,91,14197,1.7,20,66,20,5,37,66,3.3,27,,54,44,2,
Cameroon,31,3,141,67.9,2060,65,74,18175,2.1,56,17.1,19,5,41,70,4.5,60,22,16,63,2,37.5
Canada,32,4,14,,36280,100,99,32577,0.9,80,,39,18,17,90,1.5,,,,100,,
Cape Verde,33,1,104,81.2,2590,87,88,519,2.3,58,,20,5,39,,3.5,99,,,89,,
Central African Republic,34,3,157,48.6,690,38,53,4265,1.7,38,,18,6,42,49,4.7,40,18,6,54,,
Chad,35,3,193,25.7,1170,49,71,10468,3.1,26,,17,5,46,9,6.3,18,1,11,14,0,34.3
Chile,36,5,49,95.7,11300,89,90,16465,1,88,2,31,12,24,90,1.9,,,68,100,,
China,37,7,3,90.9,4660,96,100,1328474,0.6,42,9.9,33,11,21,,1.7,,,19,98,,
Colombia,38,5,92,92.8,6130,88,89,45558,1.4,73,7,26,8,30,90,2.3,83,,34,96,27,
Comoros,39,3,66,,1140,50,60,818,2.5,38,,19,4,42,83,4.5,52,,,62,,
"Congo, Dem. Rep.",40,3,125,67.2,270,47,60,60644,3.2,33,,16,4,47,34,6.7,,4,15,61,,
"Congo, Rep.",41,3,132,84.4,2420,52,58,3689,2.2,61,,19,5,42,81,4.6,75,7,12,83,3,
Cook Islands,42,6,,,,75,73,14,-2.5,64,,,8,34,90,3,,,,100,,
Costa Rica,43,5,77,94.9,9220,88,87,4399,1.6,62,3.3,26,8,28,90,2.1,,,95,94,,
Cote d'Ivoire,44,3,132,48.7,1580,49,61,18914,1.8,45,14.8,19,5,41,55,4.6,45,9,19,57,,
Croatia,45,2,14,98.1,13850,90,91,4556,0.1,57,2,41,22,15,90,1.3,,,,100,14,
Cuba,46,5,47,99.8,,97,96,11267,0.1,75,,36,16,19,90,1.5,,,95,100,,
Cyprus,47,2,5,96.8,25060,99,99,846,1.1,69,,35,17,19,90,1.6,,,,100,,
Czech Republic,48,2,11,,20920,94,91,10189,0,73,,39,20,14,90,1.2,97,,60,100,14,
Denmark,49,2,6,,36190,96,95,5430,0.2,86,,40,22,19,90,1.8,,,,,18,
Djibouti,50,1,27,,2180,34,42,819,1.8,87,,20,5,38,89,4.1,7,6,14,93,,
Dominica,51,5,,,7870,79,75,68,-0.3,71,,,11,28,90,2.1,,,,99,,
Dominican Republic,52,5,118,87,5550,78,76,9615,1.5,68,2.8,24,8,33,78,2.9,94,,24,96,31,30.7
Ecuador,53,5,100,91,6810,97,96,13202,1.1,63,,24,9,32,,2.6,58,,24,80,,
Egypt,54,1,48,71.4,4940,94,98,74166,1.8,43,3.1,23,7,33,90,3,59,,,74,20,11.1
El Salvador,55,5,104,74.1,5610,94,94,6762,1.4,60,19,24,8,34,90,2.7,71,,46,69,,
Equatorial Guinea,56,3,128,87,16620,83,91,496,2.4,39,,19,6,42,32,5.4,37,14,14,63,,
Eritrea,57,3,85,,680,43,50,4692,3.6,20,,18,4,43,,5.2,41,3,12,28,3,38
Estonia,58,2,21,99.8,18090,94,95,1340,-0.3,69,2,39,22,15,90,1.5,,,33,100,15,
Ethiopia,59,3,109,35.9,630,68,74,81021,2.5,16,23,18,5,44,7,5.4,12,4,18,6,1,45.8
Fiji,60,6,35,,4450,91,91,833,0.6,51,,24,7,33,90,2.8,,,,99,,
Finland,61,2,11,,33170,97,97,5261,0.3,61,,41,22,17,90,1.8,,,,100,16,
France,62,2,8,,32240,99,98,61330,0.6,77,,39,21,18,90,1.9,,,,99,,
French Polynesia,63,6,,,,,,,,,,,,,,,,,,,,
Gabon,64,3,144,83.8,11180,88,88,1311,1.5,84,,22,7,35,89,3.1,63,4,39,86,6,
Gambia,65,3,167,,1110,64,59,1663,2.8,55,,20,6,41,55,4.8,,,19,57,,
Georgia,66,2,47,,3880,91,88,4433,-0.9,52,6.5,36,18,18,90,1.4,75,,,92,12,
Germany,67,2,11,,32680,98,98,82641,0,75,,42,25,14,90,1.4,,,,100,22,
Ghana,68,3,74,57.9,1240,71,73,23008,2.1,49,,20,6,39,51,4,69,8,12,50,4,78.4
Greece,69,2,11,96,30870,99,100,11123,0.2,59,,40,23,14,90,1.3,,,,,,
Grenada,70,5,53,,8770,83,84,106,0.3,31,,23,10,33,90,2.3,,,,100,,
Guatemala,71,5,120,69.1,5120,92,96,13029,2.5,48,13.5,18,6,43,90,4.3,,,31,41,,
Guinea,72,3,153,29.5,1130,66,77,9181,2,33,,18,5,43,43,5.6,49,8,26,38,2,68.2
Guinea-Bissau,73,3,,,460,37,53,1646,3,30,,16,5,48,39,7.1,,13,9,39,,
Guyana,74,5,90,,3410,89,89,739,-0.1,28,,27,9,31,90,2.4,,,37,94,,
Haiti,75,5,69,,1070,22,21,9446,1.6,39,53.9,21,6,38,81,3.7,54,20,26,26,3,
Honduras,76,5,108,80,3420,97,96,6969,2,47,14.9,20,6,39,90,3.4,81,,41,67,13,
"Hong Kong, China",77,6,,,,,,,,,,,,,,,,,,,,
Hungary,78,2,21,,16970,88,89,10058,-0.3,67,2,39,21,15,90,1.3,,,22,100,23,
Iceland,79,2,16,,33740,97,98,298,0.9,93,,35,16,22,90,2,,,,,17,
India,80,7,97,61,2460,87,90,1151751,1.5,29,34.3,24,8,33,41,2.9,51,,10,47,,
Indonesia,81,6,54,90.4,3310,94,97,228864,1.2,49,7.5,27,8,28,55,2.2,81,,15,66,4,75.1
